_id;CODICE;ISTITUTO;TIPO;COMUNE;ASL;INDIRIZZO;LATITUDINE;LONGITUDINE;DATA;STATO_IN_PS;ROSSI_ATT;GIALLI_ATT;VERDI_ATT;BIANCHI_ATT;NONESEG_ATT;TOT_ATT;STATO_IN_PS1;ROSSI_TRATT;GIALLI_TRATT;VERDI_TRATT;BIANCHI_TRATT;NONESEG_TRATT;TOT_TRATT;STATO_IN_PS2;ROSSI_OB;GIALLI_OB;VERDI_OB;BIANCHI_OB;TOT_OB;TOT_RT;TUTTI
25;7400;Cristo Re;PS;Roma;RM1;Via delle Calasanziane 25, 00167 Roma;41.91371;12.42153;2021-07-15T16:58:00;ATTESA;0;0;1;0;0;1;TRATTAMENTO;0;1;8;0;0;9;OSSERVAZIONE_BREVE;0;0;0;0;0;0;10
26;7300;San Carlo di Nancy;PS;Roma;RM1;Via Aurelia 275, 00165 Roma;41.89882;12.44371;2021-07-15T16:58:00;ATTESA;0;2;14;0;0;16;TRATTAMENTO;0;3;4;0;0;7;OSSERVAZIONE_BREVE;0;0;0;0;0;0;23
27;7200;San Giovanni Calibita-FBF;DEA I;Roma;RM1;Piazza Fatebenefratelli 2 (Isola Tiberina), 00186 Roma;41.89064;12.47792;2021-07-15T16:58:00;ATTESA;0;0;3;0;0;3;TRATTAMENTO;0;2;9;1;0;12;OSSERVAZIONE_BREVE;0;0;0;0;0;3;18
28;7100;San Pietro-FBF;DEA I;Roma;RM1;Via Cassia 600, 00189 Roma;41.95672;12.45661;2021-07-15T16:58:00;ATTESA;0;0;5;1;0;6;TRATTAMENTO;3;6;15;0;0;24;OSSERVAZIONE_BREVE;0;0;0;0;0;8;38
29;6602;C.T.O. Andrea Alesini;PS SPEC.;Roma;RM2;Via San Nemesio 21, 00145 Roma;41.85961;12.49624;2021-07-15T16:58:00;ATTESA;0;0;1;0;0;1;TRATTAMENTO;0;0;3;0;0;3;OSSERVAZIONE_BREVE;0;0;0;0;0;0;4
30;6601;Sant'Eugenio;DEA I;Roma;RM2;Piazzale dell'Umanesimo 10, 00144 Roma;41.82112;12.47051;2021-07-15T16:58:00;ATTESA;0;0;4;0;1;5;TRATTAMENTO;4;12;24;0;0;40;OSSERVAZIONE_BREVE;0;0;0;0;0;17;62
31;6100;G. Battista Grassi;DEA I;Roma;RM3;Via Gian Carlo Passeroni 28, 00122 Roma (Ostia);41.73741;12.28942;2021-07-15T16:58:00;ATTESA;0;0;6;0;0;6;TRATTAMENTO;2;4;6;0;0;12;OSSERVAZIONE_BREVE;0;1;4;0;5;6;29
32;5900;Padre Pio;PS;Bracciano;RM4;Via S. Negretti 2, 00062 Bracciano (RM);42.10263;12.17641;2021-07-15T16:58:00;ATTESA;0;0;1;0;0;1;TRATTAMENTO;0;1;7;1;0;9;OSSERVAZIONE_BREVE;0;0;1;0;1;5;16
33;5300;San Giovanni Evangelista;DEA I;Tivoli;RM5;Via Parrozza 1, 00019 Tivoli (RM);41.96342;12.79553;2021-07-15T16:58:00;ATTESA;0;1;5;0;0;6;TRATTAMENTO;1;11;16;0;0;28;OSSERVAZIONE_BREVE;0;0;1;0;1;0;35
34;5200;A. Angelucci;PS;Subiaco;RM5;Contrada Colle S. Pietro, 00028 Subiaco (RM);41.92841;13.09032;2021-07-15T16:58:00;ATTESA;0;0;0;0;0;0;TRATTAMENTO;0;1;4;0;0;5;OSSERVAZIONE_BREVE;0;0;0;0;0;0;5
35;5100;Coniugi Bernardini;PS;Palestrina;RM5;Via Pio XII 42, 00036 Palestrina (RM);41.83842;12.88871;2021-07-15T16:58:00;ATTESA;0;1;1;0;0;2;TRATTAMENTO;0;5;6;0;0;11;OSSERVAZIONE_BREVE;1;1;3;0;5;1;19
36;4900;Santissimo Gonfalone;PS;Monterotondo;RM5;Via San Matteo snc, 00015 Monterotondo (RM);42.05261;12.61784;2021-07-15T16:58:00;ATTESA;0;0;3;0;0;3;TRATTAMENTO;2;2;4;0;0;8;OSSERVAZIONE_BREVE;0;0;0;0;0;0;11
37;4600;L. Parodi Delfino;PS;Colleferro;RM5;Piazza Aldo Moro 1, 00034 Colleferro (RM);41.72912;13.00341;2021-07-15T16:58:00;ATTESA;0;0;2;0;0;2;TRATTAMENTO;1;5;3;0;0;9;OSSERVAZIONE_BREVE;3;0;0;0;3;4;18
38;4500;San Paolo;DEA I;Civitavecchia;RM4;Largo San Paolo 1, 00053 Civitavecchia (RM);42.08381;11.80282;2021-07-15T16:58:00;ATTESA;0;0;4;1;1;6;TRATTAMENTO;0;1;6;0;0;7;OSSERVAZIONE_BREVE;2;2;3;0;7;3;23
39;3000;Oftalmico;PS SPEC.;Roma;RM1;Piazzale degli Eroi 11, 00136 Roma;41.90842;12.44681;2021-07-15T16:58:00;ATTESA;0;0;1;4;0;5;TRATTAMENTO;0;0;3;2;0;5;OSSERVAZIONE_BREVE;0;0;0;0;0;0;10
40;2601;Santo Spirito;DEA I;Roma;RM1;Lungotevere in Sassia 1, 00193 Roma;41.90153;12.46322;2021-07-15T16:58:00;ATTESA;0;4;3;1;1;9;TRATTAMENTO;3;6;7;0;0;16;OSSERVAZIONE_BREVE;1;0;1;0;2;10;37
41;1901;San Camillo De Lellis;DEA I;Rieti;RI;Viale John Fitzgerald Kennedy, 02100 Rieti;42.41731;12.87943;2021-07-15T16:58:00;ATTESA;0;4;9;0;0;13;TRATTAMENTO;3;11;14;0;0;28;OSSERVAZIONE_BREVE;1;4;2;0;7;11;59
42;700;Ospedale Civile;PS;Tarquinia;VT;Viale Igea 1, 01016 Tarquinia (VT);42.25762;11.75841;2021-07-15T16:58:00;ATTESA;0;0;4;0;1;5;TRATTAMENTO;0;1;4;0;0;5;OSSERVAZIONE_BREVE;0;1;2;0;3;0;13
43;13400;Sant'Anna;PS;Pomezia;RM6;Via del Mare 69, 00071 Pomezia (RM);41.67083;12.50024;2021-07-15T16:57:00;ATTESA;0;0;0;0;0;0;TRATTAMENTO;1;2;9;0;0;12;OSSERVAZIONE_BREVE;0;0;0;0;0;0;12
44;5400;P. Colombo;DEA I;Velletri;RM6;Via San Biagio 19, 00049 Velletri (RM);41.68821;12.77652;2021-07-15T16:57:00;ATTESA;0;0;0;0;1;1;TRATTAMENTO;1;1;10;0;0;12;OSSERVAZIONE_BREVE;0;0;0;0;0;14;27
45;4700;San Sebastiano Martire;PS;Frascati;RM6;Via Enrico Fermi 1, 00044 Frascati (RM);41.81232;12.67811;2021-07-15T16:57:00;ATTESA;0;0;8;0;0;8;TRATTAMENTO;1;1;7;0;0;9;OSSERVAZIONE_BREVE;0;3;1;0;4;0;21
46;300;Andosilla;PS;Civitacastellana;VT;Via Ferretti 169, 01033 Civita Castellana (VT);42.29654;12.41243;2021-07-15T16:57:00;ATTESA;0;0;3;0;0;3;TRATTAMENTO;0;1;3;0;0;4;OSSERVAZIONE_BREVE;0;0;1;0;1;2;10
47;200;Ospedale Civile;PS;Acquapendente;VT;Via Cavour 2, 01021 Acquapendente (VT);42.74281;11.87022;2021-07-15T16:57:00;ATTESA;0;0;0;0;0;0;TRATTAMENTO;0;0;0;0;0;0;OSSERVAZIONE_BREVE;0;0;0;0;0;0;0
48;29200;Ospedale dei Castelli;PS;Ariccia;RM6;Via Nettunense km 11.500, 00040 Ariccia (RM);41.68742;12.63941;2021-07-15T16:56:00;ATTESA;0;0;2;0;0;2;TRATTAMENTO;0;0;13;0;0;13;OSSERVAZIONE_BREVE;2;6;1;0;9;6;30
49;4300;Ospedali Riuniti;DEA I;Anzio;RM6;Stradone del Sandalo, 00042 Anzio (RM);41.45893;12.64682;2021-07-15T16:56:00;ATTESA;0;0;4;0;0;4;TRATTAMENTO;0;1;12;0;0;13;OSSERVAZIONE_BREVE;2;0;4;0;6;19;42
